2011,11,660545.8132
2012,5,358877.8907
2011,10,708208.0032
2012,4,400335.6145
2011,9,603083.4976
2012,3,373483.0054
2011,12,669431.5031
2012,2,506994.1876
2012,6,555160.1428
2012,9,486177.4502
2013,3,1049907.39
2012,8,523917.3815
2013,2,771348.74
2012,11,537955.517
2012,7,444558.2281
2013,1,857689.91
2012,10,535159.4846
2013,4,1046022.77
2013,7,1371675.81
2014,1,45694.72
2011,3,485198.6594
2012,12,624502.1667
2011,2,466334.903
2013,6,1643177.78
2013,9,1447495.69
2011,1,469823.9148
2013,5,1284592.93
2013,8,1551065.56
2011,7,596746.5568
2013,11,1780920.06
2012,1,495364.1261
2010,12,43421.0364
2013,10,1673293.41
2011,6,737839.8214
2011,5,561681.4758
2013,12,1874360.29
2011,8,614557.935
2011,4,502073.8458
